customer_age,tenure_months,monthly_charge,total_charges,avg_monthly_usage_gb,num_products,has_streaming,has_security_pack,support_tickets,late_payments,contract_type,payment_method,internet_service,region,is_promo
68,32,65.66,2197.4,134.88,4,0,0,1,0,mensual,efectivo,fibra,norte,1
66,33,28.43,1111.98,5.0,4,1,1,0,0,anual,debito,fibra,norte,0
68,17,68.81,1138.13,159.66,4,0,1,3,0,bianual,debito,cable,centro,0
28,7,78.72,640.33,117.35,2,1,1,1,0,anual,credito,ninguno,sur,0
44,40,59.96,2440.0,73.16,3,1,1,0,1,bianual,credito,movil,norte,0
35,64,97.7,6393.06,68.73,3,1,1,2,1,anual,credito,fibra,oeste,1
49,5,49.14,390.33,85.59,2,1,0,0,1,mensual,transferencia,ninguno,centro,1
44,62,68.91,4124.08,73.42,1,0,1,1,1,mensual,efectivo,cable,oeste,0
43,60,64.36,3884.71,80.14,2,1,0,0,0,mensual,efectivo,cable,norte,1
73,20,63.19,1366.6,205.03,3,1,1,2,1,mensual,debito,movil,sur,1
55,46,62.94,2998.52,138.56,1,0,1,2,1,anual,transferencia,movil,centro,0
76,12,66.93,895.18,221.8,1,0,0,2,0,mensual,transferencia,cable,norte,0
49,55,80.26,4410.37,131.29,1,1,1,2,1,mensual,debito,fibra,oeste,0
63,51,89.8,4660.98,148.96,4,1,1,5,1,anual,credito,fibra,oeste,1
36,26,64.96,1518.49,75.96,4,1,1,3,0,mensual,debito,movil,centro,0
46,5,79.68,233.81,111.6,1,0,0,4,1,mensual,debito,cable,oeste,1
43,70,52.37,3846.93,115.92,2,1,0,0,0,anual,debito,movil,oeste,1
64,33,78.79,2730.68,151.0,4,1,1,2,1,mensual,transferencia,movil,centro,1
52,65,51.28,3523.12,117.53,2,1,1,2,0,mensual,credito,movil,norte,1
37,49,84.63,4128.42,137.57,1,0,0,1,1,mensual,debito,fibra,norte,0
66,57,104.79,5855.71,135.78,3,0,0,4,0,anual,credito,fibra,sur,0
66,55,62.8,3431.57,104.86,3,1,0,0,0,anual,debito,fibra,oeste,0
26,15,25.53,615.51,99.72,3,1,0,0,0,anual,debito,fibra,centro,1
42,27,55.13,1387.89,86.55,2,0,0,3,0,mensual,efectivo,cable,oeste,0
52,34,87.17,2942.97,174.12,4,1,0,1,1,anual,credito,cable,centro,1
72,36,74.96,2844.69,104.88,1,1,0,2,1,mensual,transferencia,fibra,centro,0
75,4,69.48,287.58,136.44,2,0,1,1,0,anual,debito,cable,sur,0
33,40,83.16,3279.86,112.17,4,1,0,4,2,mensual,debito,fibra,centro,1
42,12,73.72,975.31,173.13,2,1,0,1,0,mensual,efectivo,cable,norte,1
26,54,86.92,4636.44,20.6,1,1,0,1,1,mensual,debito,cable,centro,0
22,50,81.55,4134.78,135.15,3,1,0,3,0,mensual,debito,fibra,centro,0
38,67,92.39,5900.42,57.25,3,1,0,2,1,mensual,transferencia,cable,sur,1
69,54,71.46,3648.67,139.54,3,1,1,1,1,mensual,credito,cable,centro,1
42,27,81.29,2166.79,112.67,2,0,1,1,1,bianual,efectivo,fibra,norte,0
30,70,59.47,4323.01,46.08,4,1,0,1,1,mensual,efectivo,fibra,centro,0
32,30,54.17,1605.44,136.88,3,1,1,3,1,anual,debito,fibra,centro,1
60,24,95.72,2291.02,131.21,3,0,1,0,0,mensual,debito,movil,sur,1
51,66,68.89,4576.71,108.44,3,1,1,2,1,mensual,credito,ninguno,centro,1
46,27,79.49,2096.83,114.77,4,0,1,1,0,bianual,debito,fibra,sur,0
40,6,67.23,210.28,128.08,3,1,1,3,0,mensual,credito,fibra,centro,1
75,34,54.44,1933.6,178.91,4,0,1,2,0,anual,credito,movil,norte,1
26,58,65.2,3813.5,104.28,2,1,1,2,1,anual,efectivo,cable,oeste,0
65,14,90.85,1313.03,170.65,1,1,1,1,0,mensual,efectivo,fibra,centro,0
78,34,74.99,2415.93,118.13,3,1,0,1,0,anual,debito,cable,oeste,0
66,10,34.19,525.08,184.79,2,1,0,2,1,anual,debito,movil,centro,0
50,50,61.13,3004.96,108.24,4,1,1,2,0,bianual,efectivo,fibra,norte,0
54,35,97.08,3569.45,86.68,1,1,0,2,0,mensual,debito,cable,centro,0
70,24,61.15,1214.44,65.12,4,1,1,2,2,mensual,debito,movil,centro,0
26,17,32.59,502.86,118.31,4,1,0,0,0,anual,debito,fibra,centro,1
67,41,99.07,4244.62,80.34,4,1,1,1,1,mensual,debito,ninguno,centro,0
28,49,77.28,3769.64,190.22,2,1,1,1,1,mensual,debito,ninguno,centro,1
26,68,63.74,4039.67,76.44,4,1,1,1,3,anual,debito,movil,centro,1
20,32,58.31,1750.73,85.5,3,1,0,4,2,mensual,debito,cable,centro,0
24,12,84.48,1047.4,149.05,1,0,0,2,0,bianual,transferencia,cable,norte,1
56,60,55.24,3486.67,179.29,2,0,0,2,2,bianual,debito,cable,centro,0
23,46,85.67,3906.3,156.55,3,1,1,1,0,mensual,transferencia,fibra,centro,1
60,51,74.76,3944.21,172.93,4,1,0,0,1,mensual,credito,fibra,centro,1
23,8,69.4,602.59,115.99,2,1,0,2,0,mensual,credito,fibra,norte,0
30,23,67.62,1505.84,116.69,2,0,0,0,1,mensual,efectivo,fibra,oeste,1
40,56,61.85,3558.04,220.59,3,1,1,1,1,mensual,credito,movil,oeste,1
70,60,83.82,5144.46,204.51,1,1,0,1,0,bianual,debito,movil,norte,1
27,32,49.42,1546.95,155.71,4,1,0,0,1,mensual,credito,fibra,oeste,1
39,58,35.81,1990.65,175.33,2,0,0,1,4,mensual,debito,cable,oeste,1
24,61,76.06,4445.6,162.93,3,1,0,1,1,mensual,debito,cable,centro,1
31,28,76.36,2188.21,59.7,2,0,0,4,0,mensual,efectivo,cable,oeste,1
50,65,73.64,4717.44,118.02,2,1,1,0,1,anual,efectivo,cable,centro,1
63,21,72.34,1581.82,194.84,2,1,0,2,1,anual,credito,fibra,norte,1
50,18,59.23,1101.27,156.02,4,1,1,1,1,mensual,credito,fibra,norte,0
56,50,79.17,4000.76,116.82,2,1,0,1,2,mensual,credito,fibra,norte,1
39,46,64.18,2932.57,195.44,4,1,1,3,0,bianual,debito,ninguno,sur,1
30,11,56.23,465.47,138.47,1,0,0,0,0,anual,debito,ninguno,norte,0
58,60,59.39,3620.13,157.78,2,1,1,2,1,mensual,credito,cable,norte,1
68,15,101.37,1621.11,138.73,1,1,0,0,1,mensual,debito,cable,centro,0
54,58,33.77,2237.67,147.06,2,1,0,2,0,mensual,debito,cable,sur,0
24,1,74.0,50.0,150.63,4,0,0,4,2,mensual,credito,fibra,norte,1
78,58,34.78,1891.56,184.98,3,1,1,3,0,mensual,credito,fibra,centro,0
29,57,63.05,3453.76,191.5,1,0,0,1,0,anual,debito,fibra,centro,1
51,57,57.19,3253.83,97.45,3,1,1,5,2,mensual,efectivo,fibra,centro,1
64,48,27.47,1414.89,137.78,2,1,0,3,2,anual,transferencia,ninguno,sur,1
77,34,72.0,2554.9,183.55,1,0,1,3,0,anual,credito,movil,centro,1
50,51,58.16,3154.43,113.42,1,0,0,1,0,anual,debito,cable,norte,0
73,20,27.21,590.45,54.56,2,0,1,0,2,anual,credito,movil,sur,1
44,57,80.11,4422.33,74.57,1,1,1,2,1,mensual,transferencia,cable,sur,0
22,41,90.83,3752.81,78.02,3,0,0,0,0,anual,credito,cable,centro,1
27,34,91.82,2869.98,97.09,3,1,0,0,2,anual,credito,movil,norte,1
73,37,71.46,2602.46,82.69,4,1,0,2,0,mensual,debito,fibra,oeste,1
23,41,65.83,2648.08,171.46,4,1,0,1,2,bianual,debito,fibra,norte,0
74,3,88.91,321.94,106.16,4,1,1,1,0,bianual,efectivo,cable,sur,1
44,11,95.28,1100.86,183.06,2,0,0,2,0,anual,debito,fibra,centro,0
76,18,85.4,1448.47,63.49,2,0,1,1,0,mensual,credito,cable,sur,1
78,9,48.05,347.28,102.33,3,1,0,2,0,anual,efectivo,movil,oeste,1
22,32,68.62,2203.57,125.21,2,1,1,4,2,mensual,debito,movil,centro,0
55,49,72.91,3629.76,160.53,4,1,1,3,0,mensual,efectivo,fibra,centro,1
19,48,32.43,1644.92,177.18,4,0,0,0,0,mensual,efectivo,fibra,oeste,0
37,34,73.45,2439.01,93.08,3,1,1,1,1,anual,transferencia,ninguno,norte,1
75,62,105.91,6560.52,169.67,2,0,0,1,0,anual,transferencia,movil,sur,0
78,41,76.52,3012.31,35.91,4,1,1,1,0,mensual,transferencia,fibra,sur,1
26,6,91.52,425.68,163.57,3,0,1,3,0,mensual,debito,movil,centro,0
78,56,68.29,3592.27,52.95,1,1,0,0,0,mensual,transferencia,movil,oeste,0
29,42,63.68,2598.64,142.33,1,1,1,1,0,mensual,debito,fibra,sur,0
38,46,71.86,3459.02,176.46,1,1,0,1,1,mensual,transferencia,fibra,norte,0
49,41,50.32,2233.15,164.36,1,0,1,6,1,mensual,credito,ninguno,centro,1
31,40,47.65,1974.09,38.04,2,0,0,4,1,mensual,transferencia,movil,centro,1
21,7,87.79,735.2,97.64,3,0,0,6,0,mensual,debito,cable,sur,0
29,41,89.7,3774.9,155.85,3,1,0,1,0,anual,debito,ninguno,norte,1
21,58,47.16,2756.09,154.41,2,1,1,1,1,mensual,transferencia,movil,norte,0
53,22,82.42,1520.91,133.8,2,0,1,1,0,anual,credito,fibra,norte,0
57,44,63.43,3062.79,9.92,3,1,1,3,0,mensual,credito,cable,sur,1
37,3,71.12,188.49,179.9,4,1,1,0,3,mensual,transferencia,movil,centro,0
69,26,73.28,1879.8,188.81,3,1,0,5,2,mensual,debito,fibra,sur,0
65,32,82.9,2828.09,128.19,1,1,1,3,1,mensual,debito,fibra,oeste,1
38,71,66.49,4739.96,131.43,2,1,0,0,3,mensual,debito,movil,sur,0
39,16,90.38,1748.26,145.15,4,1,0,2,1,anual,efectivo,movil,centro,0
42,20,70.57,1311.68,193.02,4,1,0,2,1,mensual,debito,fibra,norte,0
55,30,76.24,2411.57,132.53,2,1,1,2,2,mensual,credito,fibra,norte,0
69,72,50.0,3570.56,110.44,2,0,0,1,2,mensual,efectivo,movil,sur,1
33,62,103.86,6451.37,139.08,4,1,0,3,0,mensual,transferencia,fibra,centro,0
38,3,73.46,114.69,119.44,4,1,1,2,0,anual,transferencia,fibra,centro,0
47,17,77.83,1247.54,120.01,2,0,0,1,1,mensual,credito,movil,centro,1
33,60,36.05,2317.84,31.71,1,1,0,3,0,mensual,transferencia,movil,sur,1
58,5,50.19,313.1,146.14,3,0,0,1,0,anual,efectivo,fibra,centro,0
22,62,87.28,5462.16,178.57,3,1,1,2,0,mensual,efectivo,cable,oeste,1
78,21,70.16,1277.47,171.02,3,0,1,2,0,mensual,credito,fibra,norte,1
35,67,30.55,1854.34,167.55,4,1,1,3,1,anual,transferencia,fibra,norte,0
36,22,83.69,1730.46,117.35,2,1,1,5,2,mensual,transferencia,ninguno,centro,1
34,32,55.21,1719.2,127.28,4,0,1,3,0,bianual,transferencia,cable,centro,0
64,48,90.4,4326.87,179.57,4,0,1,1,1,anual,transferencia,cable,oeste,0
28,10,63.42,672.16,163.37,1,0,1,2,1,mensual,debito,fibra,centro,0
54,41,68.68,2938.56,194.32,3,0,0,0,0,mensual,transferencia,cable,norte,0
58,37,86.22,3366.57,86.36,1,1,0,1,1,mensual,credito,fibra,centro,0
64,57,48.85,2807.78,86.05,1,0,0,3,4,anual,debito,fibra,norte,0
50,72,47.13,3291.85,103.37,1,1,1,3,0,mensual,debito,cable,norte,0
55,48,61.46,3037.62,72.85,4,0,0,3,0,anual,debito,movil,norte,1
45,30,79.89,2418.81,53.93,4,1,1,1,1,mensual,credito,movil,oeste,0
24,30,41.04,1287.21,143.43,2,1,1,1,1,anual,debito,fibra,centro,1
18,31,34.98,1229.1,140.03,4,1,1,2,0,bianual,credito,cable,norte,1
32,59,79.83,4663.46,132.31,3,0,0,1,3,mensual,efectivo,fibra,sur,0
61,24,54.15,1474.34,137.69,1,1,0,1,0,mensual,debito,cable,oeste,0
61,13,57.94,582.25,46.81,2,0,1,2,2,mensual,debito,movil,centro,0
54,25,31.58,876.92,96.0,3,1,1,1,1,mensual,debito,movil,sur,0
63,2,52.78,50.0,105.33,3,1,1,3,1,mensual,transferencia,fibra,oeste,1
66,8,64.86,545.83,122.43,3,1,0,0,1,anual,debito,movil,centro,0
56,7,81.75,611.71,47.01,3,1,1,3,2,anual,debito,fibra,centro,0
47,56,51.12,2820.63,73.61,3,1,1,2,0,bianual,debito,fibra,centro,1
30,53,94.83,4949.04,98.18,4,0,1,1,1,anual,debito,fibra,centro,0
25,51,52.68,2584.74,172.91,3,1,1,2,1,anual,transferencia,fibra,sur,0
24,34,52.7,1826.23,133.09,2,0,0,0,0,mensual,transferencia,cable,norte,0
24,52,92.67,4894.96,171.08,1,0,1,2,1,mensual,debito,fibra,centro,0
62,12,68.81,1044.19,113.88,1,1,1,2,2,anual,credito,cable,centro,1
59,65,55.06,3548.2,120.05,2,0,0,2,0,anual,credito,fibra,centro,1
56,37,62.21,2117.53,144.95,2,0,1,2,0,anual,efectivo,cable,oeste,1
49,68,89.36,6133.17,111.14,1,0,0,3,1,mensual,transferencia,fibra,centro,1
52,11,91.39,796.57,88.76,3,1,1,3,1,mensual,transferencia,fibra,centro,1
33,36,50.3,2003.01,45.51,2,0,0,2,0,mensual,efectivo,cable,centro,0
19,51,64.24,3367.2,90.1,2,1,1,2,0,mensual,credito,fibra,norte,0
68,36,66.62,2277.3,161.81,3,0,0,1,2,mensual,debito,fibra,sur,1
55,33,47.25,1369.04,183.03,4,1,1,2,0,mensual,transferencia,movil,centro,1
75,12,64.0,664.58,81.34,3,0,1,1,0,mensual,debito,fibra,centro,1
65,28,65.1,1886.53,33.31,4,1,0,1,1,mensual,credito,movil,centro,0
41,18,85.52,1447.05,166.33,3,1,0,2,2,mensual,transferencia,fibra,norte,0
46,22,86.73,1997.27,123.46,4,1,1,4,1,bianual,credito,movil,centro,0
41,50,59.07,3066.06,52.65,2,1,1,1,1,bianual,credito,fibra,oeste,0
21,46,61.15,2744.31,5.0,1,0,1,2,2,mensual,credito,ninguno,centro,0
30,44,76.96,3492.27,71.83,1,0,0,1,3,anual,debito,fibra,norte,0
35,27,54.47,1615.65,96.85,1,1,1,3,3,mensual,debito,ninguno,centro,0
72,70,75.6,5359.89,62.42,2,1,1,3,2,bianual,credito,fibra,oeste,0
28,7,63.42,509.37,154.6,2,1,0,1,1,anual,debito,cable,norte,1
20,25,47.55,1121.27,79.37,3,0,0,3,1,mensual,efectivo,fibra,centro,1
55,9,47.78,673.7,120.62,4,1,1,1,0,mensual,credito,fibra,centro,0
36,25,91.05,2158.43,238.67,1,0,0,2,0,bianual,efectivo,fibra,norte,1
25,70,62.18,4299.48,125.87,4,0,0,2,0,bianual,efectivo,fibra,sur,1
41,27,94.53,2664.94,114.22,3,1,1,3,0,mensual,credito,fibra,sur,0
20,66,55.75,3634.37,115.35,1,1,1,1,0,anual,credito,cable,centro,1
45,36,70.24,2492.63,153.45,4,0,1,4,0,mensual,efectivo,cable,centro,0
67,51,108.07,5348.23,147.25,2,1,1,1,1,anual,debito,cable,norte,0
52,33,45.97,1460.7,69.82,3,0,0,0,0,mensual,credito,fibra,norte,0
74,20,30.84,906.54,99.44,4,1,1,2,0,mensual,debito,cable,centro,1
78,56,88.16,4893.79,86.63,1,0,0,1,0,mensual,transferencia,movil,norte,0
69,70,50.12,3661.88,105.87,1,0,1,1,0,anual,transferencia,fibra,centro,0
64,19,64.63,1168.07,211.33,1,1,0,4,2,mensual,credito,movil,centro,1
53,57,54.45,2975.76,150.87,3,0,0,1,1,anual,credito,fibra,sur,1
23,19,69.83,1233.25,116.01,4,1,0,0,2,bianual,credito,fibra,oeste,1
39,52,47.89,2577.31,182.23,3,1,0,3,0,mensual,credito,movil,centro,0
73,57,61.76,3258.42,129.42,3,0,0,2,1,bianual,credito,cable,oeste,1
22,33,73.1,2616.86,38.1,1,1,1,2,0,anual,efectivo,cable,norte,0
65,54,46.85,2587.16,203.2,2,1,1,1,1,anual,debito,fibra,oeste,1
41,20,52.4,1003.14,112.18,2,0,0,2,0,mensual,debito,cable,centro,0
74,6,58.75,257.28,7.2,2,0,1,2,1,mensual,debito,cable,oeste,1
29,7,39.28,212.36,40.02,4,0,1,1,0,bianual,transferencia,ninguno,centro,0
44,33,57.39,2031.95,176.38,2,1,0,3,1,anual,efectivo,movil,oeste,0
67,65,67.14,4174.77,40.83,1,1,0,0,1,anual,debito,fibra,sur,1
43,10,57.81,571.48,187.46,2,1,1,4,2,mensual,credito,fibra,centro,1
68,33,60.12,2119.44,124.05,3,1,0,0,0,mensual,efectivo,cable,norte,0
40,51,64.64,3053.52,155.69,2,1,1,0,1,mensual,debito,cable,centro,1
46,15,53.2,722.6,107.16,4,1,1,1,1,anual,transferencia,fibra,sur,0
61,52,77.44,3845.26,146.17,4,1,1,1,0,bianual,efectivo,movil,oeste,0
36,23,90.85,1934.89,135.83,2,1,1,3,1,mensual,transferencia,cable,centro,0
67,59,56.64,3367.74,118.07,4,1,1,2,0,mensual,debito,fibra,centro,0
60,42,73.73,3174.57,66.73,2,1,1,2,0,mensual,credito,fibra,oeste,0
71,40,60.69,2378.41,137.93,4,1,0,5,2,mensual,debito,cable,oeste,0
56,13,71.58,750.62,29.15,3,1,0,2,0,mensual,debito,movil,oeste,0
70,34,93.18,3064.23,166.58,1,1,1,0,0,mensual,debito,fibra,norte,0
53,62,74.16,4645.55,129.85,2,0,1,3,0,anual,debito,fibra,oeste,0
46,2,33.08,61.88,143.21,3,1,1,3,0,mensual,efectivo,fibra,sur,0
74,55,73.17,3882.72,5.0,2,1,1,2,1,bianual,credito,fibra,oeste,0
44,36,87.19,3080.29,63.71,4,1,1,1,0,bianual,debito,cable,centro,1
35,52,61.01,3266.1,94.71,2,0,1,0,0,mensual,credito,fibra,centro,0
67,48,82.92,4004.27,153.68,4,1,0,2,0,anual,credito,movil,sur,0
38,32,52.58,1557.11,72.86,4,0,0,2,1,mensual,debito,fibra,norte,0
19,23,38.26,910.62,247.4,1,1,1,1,0,mensual,debito,movil,centro,0
21,46,67.54,3039.41,106.83,3,1,1,3,1,mensual,credito,movil,norte,1
62,11,33.38,289.66,69.2,3,0,0,0,2,mensual,transferencia,fibra,centro,1
31,43,60.68,2625.08,110.66,1,1,0,2,0,anual,debito,movil,norte,0
41,7,88.16,485.35,72.45,3,1,1,1,1,anual,transferencia,cable,norte,0
46,47,30.62,1386.3,60.78,2,1,0,1,0,anual,credito,movil,sur,0
41,46,41.97,2056.26,170.55,4,1,0,2,1,anual,credito,fibra,norte,1
68,7,46.42,621.29,145.66,4,1,0,3,1,anual,debito,movil,norte,0
69,55,63.86,3306.7,145.81,1,1,1,1,0,anual,credito,cable,centro,0
29,30,58.42,1647.24,183.84,4,1,0,3,0,bianual,credito,fibra,sur,1
21,57,90.18,5275.89,144.33,4,1,0,1,0,anual,debito,ninguno,sur,1
49,3,82.18,95.87,66.63,2,1,0,1,1,mensual,transferencia,ninguno,sur,0
69,13,73.91,945.49,155.43,4,1,1,2,0,mensual,credito,fibra,centro,0
36,36,67.62,2649.97,63.67,3,0,1,3,0,mensual,debito,cable,norte,0
42,14,72.08,921.77,96.1,3,1,1,1,0,mensual,debito,ninguno,centro,0
65,24,49.48,1157.36,117.71,1,0,0,0,0,anual,debito,cable,centro,0
44,48,80.43,3706.12,112.64,2,0,1,1,1,bianual,efectivo,cable,norte,1
56,11,44.98,577.13,30.44,1,1,1,2,1,bianual,debito,fibra,oeste,0
71,49,80.04,3707.29,71.62,2,1,0,2,0,mensual,credito,fibra,centro,0
21,8,86.35,607.84,118.87,4,1,1,2,2,mensual,transferencia,cable,oeste,1
21,13,68.8,738.69,89.47,1,1,0,3,0,mensual,debito,cable,sur,1
27,43,61.83,2620.14,176.31,3,1,0,0,1,anual,credito,cable,centro,1
49,58,72.21,4410.85,184.87,4,0,1,0,0,anual,credito,cable,centro,0
64,13,15.0,241.33,63.98,1,1,1,3,0,anual,efectivo,fibra,sur,1
25,22,70.44,1578.32,122.99,1,1,1,3,0,bianual,credito,movil,oeste,0
59,67,62.96,4253.79,199.14,2,0,0,1,1,mensual,debito,fibra,centro,0
23,72,64.09,4611.72,113.29,2,0,1,0,0,mensual,debito,cable,centro,1
25,42,77.72,3418.31,99.65,2,1,1,2,0,anual,credito,movil,oeste,0
74,33,63.65,2193.3,163.01,1,1,0,2,0,mensual,credito,movil,norte,1
36,25,44.48,955.86,106.29,4,1,1,2,2,mensual,efectivo,fibra,centro,1
43,45,62.45,2927.23,183.54,1,1,1,2,1,mensual,debito,movil,sur,1
34,43,66.22,2875.69,90.26,1,1,0,2,1,anual,debito,fibra,oeste,0
38,22,67.07,1530.13,96.27,1,0,0,3,0,bianual,credito,fibra,centro,0
46,2,67.91,50.0,159.51,3,0,1,2,0,mensual,debito,movil,oeste,1
30,11,83.71,920.9,125.03,1,1,1,1,1,mensual,credito,fibra,norte,0
19,70,45.45,3164.83,125.42,4,1,1,3,0,bianual,debito,fibra,sur,0
60,31,68.16,2029.8,24.53,2,0,0,2,2,mensual,transferencia,ninguno,centro,0
50,35,88.22,3216.48,102.33,4,1,1,2,0,anual,debito,fibra,sur,0
51,34,33.78,952.23,163.2,1,1,1,4,1,bianual,credito,movil,norte,0
28,57,68.23,4252.35,80.81,4,1,1,1,0,mensual,credito,cable,centro,0
61,5,54.46,138.17,155.03,1,1,1,4,0,mensual,debito,fibra,norte,1
62,6,58.33,406.4,133.4,3,0,0,4,0,mensual,credito,cable,centro,0
47,20,48.71,999.92,110.01,1,0,1,2,2,mensual,credito,fibra,oeste,1
51,36,61.95,2370.39,187.89,2,1,1,4,2,mensual,transferencia,movil,centro,1
41,49,98.14,5009.4,103.01,3,1,0,2,0,mensual,credito,movil,centro,1
66,36,42.24,1468.42,106.49,1,1,1,3,0,mensual,credito,fibra,norte,0
73,32,43.95,1427.5,109.44,4,1,0,2,1,anual,credito,cable,norte,1
56,68,41.57,2775.5,124.03,4,1,1,0,0,mensual,credito,cable,norte,0
24,12,96.09,1037.06,158.35,3,1,0,0,0,mensual,transferencia,movil,centro,1
73,42,56.68,2384.65,46.37,1,1,1,4,0,mensual,debito,fibra,norte,1
51,40,64.54,2578.34,163.4,3,0,0,2,0,anual,credito,fibra,oeste,1
76,35,57.75,2022.59,123.4,2,0,1,2,0,mensual,efectivo,fibra,sur,0
62,59,48.0,2786.6,147.7,3,0,0,2,0,mensual,credito,cable,oeste,0
55,20,60.77,1256.23,239.59,1,0,0,2,0,bianual,credito,fibra,norte,1
37,69,109.25,7632.07,94.42,3,1,0,2,2,anual,transferencia,cable,centro,0
56,24,90.06,2016.73,58.77,2,0,0,0,0,anual,credito,ninguno,oeste,0
31,40,49.65,2060.03,129.69,3,1,1,2,0,anual,credito,fibra,sur,0
39,38,76.66,3100.46,137.61,2,1,1,6,0,mensual,debito,cable,oeste,0
57,62,50.03,2948.77,163.58,2,0,1,3,1,mensual,debito,fibra,norte,1
74,32,33.03,1075.53,93.08,2,0,1,2,1,mensual,debito,cable,norte,0
50,21,83.35,1804.88,78.49,4,0,1,2,4,anual,transferencia,fibra,oeste,1
67,2,85.88,265.76,43.35,2,1,1,0,0,bianual,credito,movil,sur,1
44,27,83.83,2370.99,51.63,3,1,0,1,1,anual,efectivo,fibra,norte,1
33,60,56.54,3536.93,99.2,3,1,1,2,1,mensual,debito,ninguno,sur,0
23,1,62.0,78.31,114.17,3,0,0,1,1,anual,debito,fibra,oeste,1
34,65,78.5,4982.82,223.26,4,1,0,0,0,anual,credito,movil,oeste,1
24,40,72.05,2839.04,35.37,1,1,1,5,1,mensual,debito,fibra,norte,0
63,11,57.91,810.21,136.77,3,1,1,2,0,mensual,credito,fibra,sur,0
24,22,35.86,683.36,83.7,4,1,0,4,1,mensual,debito,movil,centro,0
39,40,67.05,2744.26,131.14,4,0,1,0,1,mensual,debito,fibra,centro,0
71,23,84.42,2043.08,92.34,2,1,0,2,0,anual,credito,cable,norte,1
68,8,43.44,420.97,171.77,1,1,1,0,2,mensual,credito,movil,norte,0
68,48,76.5,3783.53,171.46,2,0,0,1,3,anual,debito,fibra,centro,1
73,49,70.97,3473.72,114.34,2,0,1,2,0,mensual,debito,fibra,norte,1
49,9,78.5,694.33,191.96,2,1,0,1,1,mensual,debito,movil,centro,0
25,21,80.7,1912.61,158.01,1,1,0,3,0,anual,debito,cable,centro,0
31,18,52.5,1181.69,189.63,4,1,0,3,0,anual,efectivo,movil,centro,1
49,48,35.89,1896.29,117.84,3,1,0,1,0,anual,transferencia,movil,centro,1
30,53,55.4,3002.11,167.59,2,1,0,1,1,anual,debito,movil,centro,1
72,53,81.0,4223.88,81.59,4,0,0,3,0,anual,credito,cable,centro,0
44,68,55.24,3772.71,76.52,4,1,1,0,0,mensual,debito,fibra,oeste,0
51,56,52.51,2925.05,228.99,1,0,0,4,1,anual,debito,movil,centro,1
24,24,32.22,905.37,65.71,1,1,1,1,0,mensual,efectivo,movil,sur,0
26,8,96.55,819.25,98.19,3,1,0,2,3,anual,debito,cable,centro,0
